SampleName,Experiment,Knockout,Activation
WT_non-act_B26-9,9,WT,non-act
WT_1ku1_B26-6,6,WT,1ku1
WT_4ku1_B26-6,6,WT,4ku1
GTKO_non-act_B26-9,9,GTKO,non-act
GTKO_1ku1_B26-6,6,GTKO,1ku1
GTKO_4ku1_B26-6,6,GTKO,4ku1
WT_non-act_B26-7,7,WT,non-act
WT_1ku1_B26-7,7,WT,1ku1
WT_4ku1_B26-7,7,WT,4ku1
GTKO_non-act_B26-7,7,GTKO,non-act
GTKO_1ku1_B26-7,7,GTKO,1ku1
GTKO_4ku1_B26-7,7,GTKO,4ku1
WT_non-act_B26-8,8,WT,non-act
WT_1ku1_B26-8,8,WT,1ku1
WT_4ku1_B26-8,8,WT,4ku1
GTKO_non-act_B26-8,8,GTKO,non-act
GTKO_1ku1_B26-8,8,GTKO,1ku1
GTKO_4ku1_B26-8,8,GTKO,4ku1
